BookTitle,BookAuthor,Type,Condition,Remarks
Once Upon a Time in the North,"Pullman, Philip",Hardcover,Like New,N/A
Serpentine,"Pullman, Philip",Hardcover,Like New,N/A
The Book of Dust,"Pullman, Philip",Hardcover,New,N/A
The Secret Commonwealth,"Pullman, Philip",Hardcover,New,N/A
His Dark Materials: Three Book Collection,"Pullman, Philip",Kindle,N/A,N/A
Where the Red Fern Grows,"Rawls, Wilson",Paperback,Good,N/A
Falling Kingdoms,"Rhodes, Morgan",Kindle,N/A,N/A
Rebel Sprin,"Rhodes, Morgan",Kindle,N/A,N/A
Gathering Darkness,"Rhodes, Morgan",Kindle,N/A,N/A
Interview with The Vampire,"Rice, Anne",Kindle,N/A,N/A
The Vampire Lestat,"Rice, Anne",Kindle,N/A,N/A
The Queen of the Damned,"Rice, Anne",Kindle,N/A,N/A
Miss Peregrine's Home for Peculiar Children,"Riggs, Ransom",Kindle,N/A,N/A
Percy Jackson: The Lightning Thief,"Riordan, Rick",Hardcover,Very Good,N/A
Percy Jackson: The Sea of Monsters,"Riordan, Rick",Hardcover,Very Good,N/A
Percy Jackson: The Titans Curse,"Riordan, Rick",Hardcover,Very Good,N/A
Percy Jackson: The Battle of the Labyrinth,"Riordan, Rick",Hardcover,Very Good,N/A
Percy Jackson: The Last Olympian,"Riordan, Rick",Hardcover,Very Good,N/A
The Lost Hero,"Riordan, Rick",Hardcover,Like New,N/A
The Son of Neptune,"Riordan, Rick",Hardcover,Like New,N/A
The Mark of Athena,"Riordan, Rick",Hardcover,Like New,N/A
The House of Hades,"Riordan, Rick",Hardcover,New,N/A
The Blood of Olympus,"Riordan, Rick",Hardcover,Like New,N/A
My Fight Your Fight,"Rousey, Ronda",Hardcover,Good,N/A
Harry Potter and the Sorcerors Stone,"Rowling, J.K.",Paperback,Like New,N/A
Harry Potter and the Chamber of Secrets,"Rowling, J.K.",Paperback,Like New,N/A
Harry Pottery and the Prisoner of Azkaban,"Rowling, J.K.",Paperback,Like New,N/A
Harry Potter and the Goblet of Fire,"Rowling, J.K.",Paperback,Like New,N/A
Harry Potter and the Order of the Phoenix,"Rowling, J.K.",Paperback,Like New,N/A
Harry Potter and the Half-Blood Prince,"Rowling, J.K.",Paperback,Like New,N/A
Harry Potter and the Deathly Hallows,"Rowling, J.K.",Paperback,Like New,N/A
Harry Potter and the Order of the Phoenix,"Rowling, J.K.",Hardcover,Very Good,N/A
Harry Potter and the Half-Blood Prince,"Rowling, J.K.",Hardcover,Good,N/A
Harry Potter and the Deathly Hallows,"Rowling, J.K.",Hardcover,Very Good,N/A
Harry Potter and the Cursed Child,"Rowling, J.K.",Hardcover,Like New,N/A
The Orc King,"Salvatore, R.A.",Paperback,Very Good,N/A
The Pirate King,"Salvatore, R.A.",Paperback,Very Good,N/A
The Ghost Kin,"Salvatore, R.A.",Paperback,Very Good,N/A
The Invisible Life of Addie LaRue,"Schwab, V.E.",Hardcover,New,N/A
Star Wars: Dooku Jedi Lost,"Scott, Cavan",Kindle,N/A,N/A
Scythe,"Shusterman, Neal",Hardcover,New,N/A
Thunderhead,"Shusterman, Neal",Hardcover,New,N/A
The Toll,"Shusterman, Neal",Hardcover,New,N/A
They Both Die at the End,"Silvera, Adam",Paperback,New,N/A
Leaders Eat Last,"Sinek, Simon",Paperback,Very Good,N/A
Start With Why,"Sinek, Simon",Paperback,Very Good,N/A
Leaders Eat Last,"Sinek, Simon",Kindle,N/A,N/A
The Code Book,"Singh, Simon",Paperback,Good,N/A
With the Old Breed,"Sledge, E.B.",Paperback,Like New,N/A
The Vampire Diaries: The Awakening and The Struggle,"Smith, L.J.",Paperback,Good,N/A
The Reptile Room,"Snicket, Lemony",Paperback,Good,N/A
The Wide Window,"Snicket, Lemony",Paperback,Good,N/A
The Miserable Mill,"Snicket, Lemony",Paperback,Good,N/A
The Austere Academy,"Snicket, Lemony",Paperback,Good,N/A
The Ersatz Elevator,"Snicket, Lemony",Paperback,Good,N/A
The Vile Village,"Snicket, Lemony",Paperback,Good,N/A
The Hostile Hotel,"Snicket, Lemony",Paperback,Good,N/A
The Carnivorous Carnival,"Snicket, Lemony",Paperback,Good,N/A
The Slippery Slope,"Snicket, Lemony",Paperback,Good,N/A
Oedipus Trilogy,Sophocles,Kindle,N/A,N/A
Star Wars: The High Republic: Light of the Jedi,"Soule, Charles",Kindle,N/A,N/A
The Cuckoos Egg,"Stoll, Cliff",Paperback,Very Good,N/A
